"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"4079","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL","MariaDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Vultr","jQuery;Symfony;WordPress","Financial Services","Phind","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"4080","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Elixir;Go;Objective-C;Python;SQL;Swift","Clickhouse;MariaDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean","Flask;Node.js","Oil & Gas","ChatGPT;WolframAlpha","Adrenaline;Tabnine","Independent contractor, freelancer, or self-employed;Not employed, but looking for work"
"4081","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java","MySQL;Oracle","Heroku","Angular;Spring Boot","Advertising Services","Google Bard AI","AWS CodeWhisperer;GitHub Copilot;Mintlify","Employed, full-time"
"4082","Pretoria Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Security professional","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C++;Java;Python","MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare","WordPress","Other","ChatGPT","Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed;Employed, part-time"
"4083","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Clojure;Objective-C","H2","Amazon Web Services (AWS)","React","Healthcare","ChatGPT;WolframAlpha","Rubber Duck.AI;Tabnine","Employed, full-time;Independent contractor, freelancer, or self-employed"
"4084","Nelspruit Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;SQL","MongoDB;PostgreSQL","Linode, now Akamai","Angular;ASP.NET CORE;Blazor","Legal Services","ChatGPT;WolframAlpha;You.com","GitHub Copilot;Mintlify;Replit Ghostwriter","Employed, full-time"
"4085","Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Dart;Go;PowerShell","Cockroachdb;MongoDB;SQLite","Heroku","ASP.NET CORE","Retail and Consumer Services","Bing AI;ChatGPT","GitHub Copilot;Synk Code","Employed, full-time"
"4086","Durban Campus","IT","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS","Cosmos DB;Microsoft SQL Server;MongoDB","Microsoft Azure","ASP.NET CORE;Blazor","Oil & Gas","Bing AI;ChatGPT","Favorable","Employed, full-time"
"4087","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","Clickhouse;Cosmos DB;Couch DB;Dynamodb;MongoDB;MySQL","Amazon Web Services (AWS);Cloudflare;Microsoft Azure;Vercel","Angular;Express;NestJS;Node.js;React","Insurance","Bing AI;ChatGPT;Google Bard AI","Synk Code;Tabnine;Whispr AI","Employed, full-time"
"4088","Port Elizabeth Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Data or business analyst","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;Python;VBA","PostgreSQL","Heroku;Render","Django","Retail and Consumer Services","ChatGPT;Google Bard AI","AWS CodeWhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine","Independent contractor, freelancer, or self-employed"
"4089","Nelspruit Campus","Data Science","I used to be a developer by profession, but no longer am","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;SQL","Cloud Firestore;Firebase Realtime Database;Microsoft Access;Microsoft SQL Server;MySQL;SQLite","Amazon Web Services (AWS);Cloudflare;Firebase;OVH","Angular;AngularJS;ASP.NET;ASP.NET CORE;Laravel;Node.js","Legal Services","Bing AI;ChatGPT","Adrenaline","Independent contractor, freelancer, or self-employed;Not employed, but looking for work"
"4090","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;PHP;SQL","MySQL","Google Cloud","CodeIgniter;Laravel;Node.js;Vue.js","Higher Education","ChatGPT","Whispr AI","Employed, full-time"
"4091","Durban Campus","Data Science","I am a developer by profession","Developer, embedded applications or devices","Some college/university study without earning a degree","Go;TypeScript","Redis","Cloudflare;OVH;Scaleway","Node.js;React;Svelte","Insurance","ChatGPT","Whispr AI","Employed, full-time"
"4092","Pretoria Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;SQL","MariaDB;MySQL","Amazon Web Services (AWS)","jQuery;Laravel","Higher Education","Bing AI;ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time;Student, full-time"
"4093","Pretoria Campus","Data Science","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;SQL","Elasticsearch;MySQL;Redis","Amazon Web Services (AWS)","AngularJS;React;Spring Boot","Wholesale","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify","Employed, full-time"
"4094","Durban Campus","IT","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Dart;HTML/CSS;PowerShell;SQL;TypeScript","Cosmos DB;Dynamodb;Elasticsearch;InfluxDB;Microsoft SQL Server;RavenDB;SQLite","Amazon Web Services (AWS);Hetzner;Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Blazor;Gatsby;React","Wholesale","ChatGPT;WolframAlpha","GitHub Copilot;Replit Ghostwriter;Tabnine","Independent contractor, freelancer, or self-employed"
"4095","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript","MongoDB;MySQL","Amazon Web Services (AWS);Firebase;Heroku;Microsoft Azure;Render;Vercel","Angular;AngularJS;Node.js;React;Vue.js","Wholesale","ChatGPT","GitHub Copilot;Rubber Duck.AI;Tabnine","Employed, full-time"
"4096","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Ada;Bash/Shell (all shells);C++;Java;JavaScript;PowerShell;R;SQL;TypeScript","Cassandra;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL","Firebase;Google Cloud","Angular;React","Advertising Services","ChatGPT;WolframAlpha","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"4097","Durban Campus","Data Science","I am a developer by profession","Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Ada;Apex;APL;Assembly;Bash/Shell (all shells);C;C#;C++;Clojure;Cobol;Crystal;Dart;Delphi;Elixir;Erlang;F#;Flow;Fortran;GDScript;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;MATLAB;Nim;Objective-C;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Raku;Ruby;Rust;SAS;Scala;Solidity;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Zig","BigQuery;Cassandra;Clickhouse;Cloud Firestore;Cockroachdb;Cosmos DB;Couch DB;Couchbase;Datomic;DuckDB;Dynamodb;Elasticsearch;Firebase Realtime Database;Firebird;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;RavenDB;Redis;Snowflake;Solr;SQLite;Supabase;TiDB","Amazon Web Services (AWS);Cloudflare;Colocation;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Hetzner;IBM Cloud Or Watson;Linode, now Akamai;Managed Hosting;Microsoft Azure;Netlify;OpenShift;OpenStack;Oracle Cloud Infrastructure (OCI);OVH;Render;Scaleway;Vercel;VMware;Vultr","Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;CodeIgniter;Deno;Django;Drupal;Elm;Express;FastAPI;Fastify;Flask;Gatsby;jQuery;Laravel;Lit;NestJS;Next.js;Node.js;Nuxt.js;Phoenix;Play Framework;Qwik;React;Remix;Ruby on Rails;Solid.js;Spring Boot;Svelte;Symfony;Vue.js","Wholesale","Andi;Bing AI;ChatGPT;Google Bard AI;Metaphor;Neeva AI;Perplexity AI;Phind;Quora Poe;WolframAlpha;You.com","AWS CodeWhisperer;GitHub Copilot;Synk Code","Employed, full-time"
"4098","Nelspruit Campus","Data Science","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Python","Dynamodb;Elasticsearch;MySQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud","FastAPI;WordPress","Manufacturing, Transportation, or Supply Chain","ChatGPT","GitHub Copilot;Synk Code;Whispr AI","Employed, full-time"
"4099","Durban Campus","Data Science","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;C++;HTML/CSS;JavaScript;SQL","Microsoft SQL Server;PostgreSQL;Redis;SQLite","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Vue.js","Other","ChatGPT","Synk Code;Tabnine","Employed, full-time"
"4100","Pretoria Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Other (please specify):","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C#;C++;Python;Rust","Cosmos DB;Elasticsearch;InfluxDB;Neo4J;PostgreSQL;Redis;SQLite","Hetzner;Microsoft Azure","Angular;ASP.NET CORE","Healthcare","WolframAlpha","AWS CodeWhisperer;GitHub Copilot;Synk Code","Employed, full-time"
"4101","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Elixir;HTML/CSS;JavaScript","PostgreSQL;Redis","Amazon Web Services (AWS)","Phoenix;React","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer","Employed, full-time"
"4102","Port Elizabeth Campus","Data Science","I am a developer by profession","Engineer, data","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","PowerShell;Python;R;SQL","IBM DB2;Microsoft SQL Server;MongoDB;PostgreSQL","Amazon Web Services (AWS);Microsoft Azure","Django;Flask","Financial Services","ChatGPT;WolframAlpha","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time;Student, part-time"
"4103","Nelspruit Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;Python;TypeScript","Microsoft SQL Server;MongoDB;MySQL;Redis;SQLite","Amazon Web Services (AWS);Microsoft Azure;Vercel;VMware","ASP.NET CORE;Blazor;Next.js;Node.js;React;Remix","Oil & Gas","ChatGPT","Adrenaline","Employed, full-time"
"4104","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;SQL","MariaDB;MongoDB;MySQL;PostgreSQL","Cloudflare","Spring Boot","Healthcare","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Independent contractor, freelancer, or self-employed"
"4105","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Dart;Elixir;Erlang;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL","PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Google Cloud","AngularJS;Nuxt.js;Phoenix;Ruby on Rails;Vue.js","Other","Bing AI;ChatGPT","Codeium;Tabnine","Independent contractor, freelancer, or self-employed"
"4106","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Elixir;HTML/CSS;JavaScript;Rust;SQL","PostgreSQL","Fly.io;OpenStack","Phoenix","Higher Education","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Employed, full-time"
"4107","Durban Campus","Computer Science","I am a developer by profession","Other (please specify):","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL","Dynamodb;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Cloudflare;Fly.io;Google Cloud;Managed Hosting","Node.js","Higher Education","ChatGPT","Mintlify;Tabnine","Employed, full-time"
"4108","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;Python;SQL","Cloud Firestore;MariaDB;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Firebase;Heroku;Netlify;Render;Vercel","AngularJS;Django;Express;Node.js;React","Legal Services","Bing AI;ChatGPT;Google Bard AI;Quora Poe","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify","Not employed, but looking for work"
"4109","Port Elizabeth Campus","IT","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;F#;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL","Dynamodb;Elasticsearch;InfluxDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Microsoft Azure","Django;jQuery;Node.js;React;Spring Boot","Manufacturing, Transportation, or Supply Chain","ChatGPT;Google Bard AI;WolframAlpha","Mintlify","Employed, full-time"
"4110","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Rust;TypeScript","PostgreSQL","Amazon Web Services (AWS)","Express;NestJS;Next.js;Node.js;React","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine","Employed, full-time;Independent contractor, freelancer, or self-employed"
"4111","Durban Campus","IT","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;HTML/CSS;JavaScript;Python;SQL;Visual Basic (.Net)","Cloud Firestore;Microsoft SQL Server;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure","Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery","Other","Bing AI;ChatGPT","Mintlify","Employed, full-time"
"4112","Port Elizabeth Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Cloud infrastructure engineer","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;HTML/CSS;Java;JavaScript;Objective-C;PowerShell;Python;Rust;TypeScript","Dynamodb;Firebase Realtime Database;MySQL;PostgreSQL","Amazon Web Services (AWS);Firebase;Google Cloud","React;WordPress","Wholesale","Bing AI;ChatGPT;Google Bard AI","AWS CodeWhisperer;Tabnine","Employed, full-time"
"4113","Port Elizabeth Campus","Computer Science","I used to be a developer by profession, but no longer am","Project manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Lua;PowerShell;SQL;TypeScript","Elasticsearch;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Heroku","Angular;Drupal;NestJS;Next.js;Node.js;Nuxt.js;React;Spring Boot;WordPress","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"4114","Port Elizabeth Campus","Computer Science","I am learning to code","Student","Some college/university study without earning a degree","C++;HTML/CSS;JavaScript;SQL","Microsoft SQL Server;MySQL","Firebase;Vercel","Express;React;Vue.js","Wholesale","ChatGPT","Mintlify","Employed, full-time"
"4115","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript","MongoDB;MySQL;PostgreSQL;Supabase","Amazon Web Services (AWS);Digital Ocean;Netlify","Django;Express;Fastify;jQuery;Node.js","Oil & Gas","ChatGPT;Google Bard AI","Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine","Independent contractor, freelancer, or self-employed;Not employed, but looking for work"
"4116","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PHP;Prolog;Python;Ruby;SQL;VBA;Visual Basic (.Net)","Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Heroku;Netlify;VMware","AngularJS;ASP.NET;ASP.NET CORE;CodeIgniter;Django;Express;Laravel;Next.js;Node.js;Nuxt.js;Ruby on Rails;Vue.js;WordPress","Insurance","ChatGPT","GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"4117","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, mobile","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;Swift;TypeScript","Elasticsearch;PostgreSQL;Redis","Amazon Web Services (AWS);Firebase;Google Cloud;Hetzner","Express;Flask;React;Svelte;Vue.js","Healthcare","ChatGPT","Replit Ghostwriter;Tabnine","Employed, full-time"
"4118","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;C++;HTML/CSS;Java;JavaScript;TypeScript","Microsoft SQL Server","Microsoft Azure;Netlify;Vercel","ASP.NET;ASP.NET CORE;React","Legal Services","ChatGPT","Adrenaline;Synk Code;Whispr AI","Employed, full-time"
"4119","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Elixir;Erlang;JavaScript;TypeScript","Firebase Realtime Database;MongoDB;PostgreSQL","Firebase;Fly.io;Heroku;Vercel","Express;Next.js;Node.js;Phoenix;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"4120","Port Elizabeth Campus","Computer Science","I am a developer by profession","Blockchain","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;Python","MySQL","Amazon Web Services (AWS);Digital Ocean;Heroku","Django;Express;Flask","Other","ChatGPT;Quora Poe","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"4121","Durban Campus","Data Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Some college/university study without earning a degree","F#;HTML/CSS;JavaScript;Python;Ruby;Rust","MySQL;PostgreSQL;Redis","Digital Ocean;Managed Hosting","ASP.NET CORE;Django;Flask;Ruby on Rails","Retail and Consumer Services","Bing AI;ChatGPT;Google Bard AI;WolframAlpha","Adrenaline;Synk Code;Whispr AI","Independent contractor, freelancer, or self-employed"
"4122","Port Elizabeth Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, QA or test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;Delphi;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;Ruby;Rust;SQL;TypeScript","Dynamodb;Elasticsearch;InfluxDB;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS)","Angular;Express;jQuery;Node.js;React","Retail and Consumer Services","ChatGPT;WolframAlpha","GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time;Student, part-time"
"4123","Port Elizabeth Campus","Data Science","I am a developer by profession","System administrator","Something else","C;C#;C++;JavaScript;PHP;SQL;TypeScript","Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Heroku;Microsoft Azure;Vercel","AngularJS;CodeIgniter;jQuery;Laravel;React;Vue.js","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;Neeva AI","Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time"
"4124","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;C++;F#;Go;HTML/CSS;JavaScript;Rust","Elasticsearch;Microsoft SQL Server;MongoDB","Microsoft Azure","ASP.NET CORE;Blazor;React","Other","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"4125","Nelspruit Campus","IT","I am a developer by profession","Product manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript","MariaDB;MySQL;PostgreSQL","Amazon Web Services (AWS);VMware","Django;FastAPI;React","Legal Services","ChatGPT","Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Independent contractor, freelancer, or self-employed"
"4126","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","MongoDB;MySQL;SQLite","Amazon Web Services (AWS);Heroku","Angular;Node.js;Vue.js","Legal Services","Bing AI;ChatGPT;Google Bard AI;Phind","Mintlify;Tabnine","Employed, full-time"
"4127","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;Rust;SQL","MySQL","Amazon Web Services (AWS)","CodeIgniter;jQuery;Laravel;Node.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"4128","Nelspruit Campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript","Dynamodb;SQLite","Amazon Web Services (AWS);Cloudflare","Next.js;Node.js;React","Advertising Services","ChatGPT;WolframAlpha","AWS CodeWhisperer;GitHub Copilot;Tabnine","Employed, full-time;Student, full-time"
"4129","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Java;JavaScript;Python;SQL","Cassandra;Clickhouse;Elasticsearch;Oracle;Solr","Amazon Web Services (AWS);Hetzner","AngularJS;Node.js;Ruby on Rails;Spring Boot","Healthcare","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code","Independent contractor, freelancer, or self-employed"
"4130","Port Elizabeth Campus","Data Science","I used to be a developer by profession, but no longer am","Project manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;Java;JavaScript;PHP","MariaDB;MongoDB;MySQL","Cloudflare;Google Cloud","WordPress","Financial Services","ChatGPT","GitHub Copilot;Tabnine","Independent contractor, freelancer, or self-employed"
"4131","Port Elizabeth Campus","Data Science","I am a developer by profession","Student","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C#;Haskell;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript","MySQL;PostgreSQL","Digital Ocean;Microsoft Azure","Express;Node.js;Nuxt.js;Spring Boot;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT;WolframAlpha","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Student, full-time;Employed, part-time"
"4132","Pretoria Campus","Data Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Java;Python","MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS)","Django;Spring Boot","Legal Services","WolframAlpha","Rubber Duck.AI","Employed, full-time"
"4133","Port Elizabeth Campus","Data Science","I am learning to code","Student","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C#;Java;Kotlin;Python;SQL;TypeScript","Firebase Realtime Database;MySQL;PostgreSQL","Firebase;Microsoft Azure","Angular;ASP.NET;Laravel;React","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT;Google Bard AI;You.com","GitHub Copilot;Tabnine","Not employed, but looking for work;Student, full-time"
"4134","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);Java;JavaScript;PHP;SQL;TypeScript","Oracle","Amazon Web Services (AWS)","React;Spring Boot","Oil & Gas","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed, full-time"
"4135","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PowerShell;TypeScript","MongoDB;MySQL;SQLite","Amazon Web Services (AWS)","Angular;Express;Node.js","Wholesale","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time;Student, part-time"
"4136","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Dart;HTML/CSS;Java;JavaScript;Python;SQL","Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Google Cloud;Linode, now Akamai","Angular;AngularJS;Django;Express;jQuery","Oil & Gas","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"4137","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Apex;Elixir;HTML/CSS;JavaScript;Solidity;SQL;TypeScript","MySQL;PostgreSQL","Amazon Web Services (AWS)","Express;Node.js;Phoenix","Healthcare","ChatGPT","Rubber Duck.AI;Synk Code","Employed, full-time"
"4138","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C#;JavaScript;PowerShell;Python;SQL;TypeScript","Firebird;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Snowflake;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure;Netlify;Vercel;Vultr","Angular;ASP.NET CORE;Express;FastAPI;Flask;Vue.js","Oil & Gas","Bing AI;ChatGPT","Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time;Independent contractor, freelancer, or self-employed"
